Date,ABS,Total SSC,Fines,Sands
5/24/2017,286,330,220,109
5/24/2017,250,294,216,78
5/24/2017,289,313,209,104
5/24/2017,259,281,186,95.2
5/24/2017,188,188,128,59.9
5/24/2017,200,215,148,66.8
5/24/2017,124,219,145,74.2
5/24/2017,130,154,103,50.9
5/24/2017,174,184,130,53.8
5/24/2017,168,181,120,61.6
5/24/2017,166,159,112,46.5
5/24/2017,150,185,130,54.8
5/24/2017,156,162,115,47
5/24/2017,219,174,117,56.6
5/24/2017,177,172,112,60.8
5/24/2017,187,142,96,46.2
5/24/2017,188,109,71.2,38.2
5/24/2017,105,116,79.2,36.5
5/24/2017,116,98.9,68.8,30
5/24/2017,81.3,72,51.3,20.7
5/24/2017,36.5,33.5,28.3,5.21
