Date,Depth,ABS,Turbidity,Total SSC,Percent Finer,Fines,Sands
7/20/2016,1.28,61.5,118,294,74.6,219,74.7
7/20/2016,2.56,76.3,119,292,74.8,218,73.6
7/20/2016,3.84,101,121,317,67.7,215,102
7/20/2016,5.12,158,123,686,31.6,217,469
7/20/2016,5.76,171,123,742,29.4,218,524
7/20/2016,1.04,60,115,250,91.3,228,21.8
7/20/2016,2.07,68.9,116,257,87.4,225,32.4
7/20/2016,3.11,71.9,116,283,79.6,225,57.7
7/20/2016,4.15,90.6,114,356,63.9,227,129
7/20/2016,4.66,98.2,106,435,53,231,204
7/20/2016,0.91,42.6,108,273,93.3,255,18.3
7/20/2016,1.83,37.3,106,261,98.3,257,4.44
7/20/2016,2.74,34.1,108,264,97.7,258,6.07
7/20/2016,3.66,33.6,108,284,94.4,268,15.9
7/20/2016,4.11,36.3,110,308,90.6,279,29
